Date,Close/Last,Open,High,Low,SP500_Daily_Return,SP500_Return_Lag1,SP500_Return_Lag3,SP500_Daily_Return_Pct,SP500_Cumulative_Return,SP500_Rolling_Vol_5d,SP500_Rolling_Vol_20d,SP500_Return_5d,SP500_Return_20d,SP500_MA_5d,SP500_MA_20d
2016-09-08,2181.3,2182.76,2184.94,2177.49,-0.002223076078603392,-0.00014635395704520882,0.004201100024874949,-0.2223076078603392,0.028381500165009843,0.04120548286914252,0.04819646965003735,0.004767498099910394,0.0026706627012766937,2180.956,2180.4985
2016-09-09,2127.81,2169.08,2169.08,2127.81,-0.024522073992573334,-0.002223076078603392,0.002981678730997528,-2.4522073992573334,0.003163452925369903,0.18701431538801858,0.09767507998522379,-0.01983085044636701,-0.0265258785153194,2172.346,2177.5995000000003
2016-09-12,2159.04,2120.86,2163.3,2119.12,0.014677062331693191,-0.024522073992573334,-0.00014635395704520882,1.4677062331693191,0.017886945452832093,0.22639316065321138,0.11302309279705322,-0.00960559271185979,-0.011451203040223512,2168.1580000000004,2176.3489999999997
2016-09-13,2127.02,2150.47,2150.47,2120.27,-0.014830665480954464,0.014677062331693191,-0.002223076078603392,-1.4830665480954464,0.002791004667390684,0.23750471247129135,0.12298052222842275,-0.027194394643445197,-0.028824509736776083,2156.266,2173.1925
2016-09-14,2125.77,2127.86,2141.33,2119.9,-0.0005876766556026647,-0.014830665480954464,-0.024522073992573334,-0.05876766556026647,0.002201687803499386,0.23690855889416548,0.12206818687814598,-0.02762377868042587,-0.024047930583293242,2144.188,2170.5734999999995
2016-09-15,2147.26,2125.36,2151.31,2122.36,0.01010927804983619,-0.0005876766556026647,0.014677062331693191,1.010927804983619,0.012333223327520182,0.2624472636283701,0.12815796016234118,-0.015605372942740559,-0.01602038291281338,2137.38,2168.8255
2016-09-16,2139.16,2146.48,2146.48,2131.2,-0.0037722492851356426,0.01010927804983619,-0.014830665480954464,-0.37722492851356426,0.008514450049503797,0.18544575480438674,0.1280720381562435,0.005334122877512559,-0.021883659042898573,2139.65,2166.4325
2016-09-19,2139.12,2143.99,2153.61,2135.91,-1.8698928551330596e-05,-0.0037722492851356426,-0.0005876766556026647,-0.0018698928551330596,0.008495591909859268,0.14202133468505423,0.12811760352321286,-0.00922632281013791,-0.02049114645102501,2135.6659999999997,2164.195
2016-09-20,2139.76,2145.94,2150.8,2139.17,0.00029918845132592686,-1.8698928551330596e-05,0.01010927804983619,0.029918845132592686,0.008797322144171726,0.08309163726739935,0.128193463670385,0.005989600473902623,-0.01964593336509901,2138.214,2162.0510000000004
2016-09-21,2163.12,2144.58,2165.11,2139.57,0.010917112199498868,0.00029918845132592686,-0.0037722492851356426,1.0917112199498868,0.01981047569657357,0.10476210538076053,0.13468067573648745,0.017570104009370757,-0.010873839681741382,2145.684,2160.862
